sr_no,category,procedure_name,non_nabh_rate,nabh_rate,notes
1,GENERAL,Consultation OPD,350.0,350.0,
2,GENERAL,Consultation- for Inpatients,350.0,350.0,
3,GENERAL,Dressings of wounds,255.0,300.0,
4,GENERAL,Suturing of wounds with local anesthesia,108.0,124.0,
5,GENERAL,Aspiration Plural Effusion - Diagnostic,595.0,700.0,
6,GENERAL,Aspiration Plural Effusion - Therapeutic,595.0,700.0,
7,GENERAL,Abdominal/Peritoneal Aspiration. Therapeutic/ Ascitic tapping/ Paracentesis - Diagnostic,595.0,700.0,
8,GENERAL,Abdominal/Peritoneal Aspiration. Therapeutic/ Ascitic tapping/ Paracentesis -Therapeutic,640.0,750.0,
9,GENERAL,Pericardial Aspiration,380.0,437.0,
10,GENERAL,Joints Aspiration,317.0,365.0,
11,GENERAL,Biopsy Skin,230.0,265.0,
12,GENERAL,Removal of Stitches/Sutuches/Sutures (7-12 sutures),170.0,200.0,
13,GENERAL,Venesection,595.0,700.0,
14,GENERAL,Phimosis Correction/Paraphimosis reduction/ Circumscision Under LA,5100.0,6000.0,
15,GENERAL,Sternal puncture,173.0,199.0,
16,GENERAL,Injection/ Sclerotherapy/ Banding of Haemorrhoids,595.0,700.0,
17,GENERAL,Injection for Varicose Veins,595.0,700.0,
18,GENERAL,Urinary bladder Catheterisation,595.0,700.0,
19,GENERAL,Dilatation of Urethral Stricture,1955.0,2300.0,
20,GENERAL,Incision & Drainage under Local Anaesthesia (Large),1955.0,2300.0,
21,GENERAL,Intercostal Drainage,125.0,144.0,
22,GENERAL,Peritoneal Dialysis,1466.0,1686.0,
23,SKIN,Excision of Moles,345.0,397.0,
24,SKIN,Excision of Warts,310.0,357.0,
25,SKIN,Excision of Molluscum contagiosum,130.0,150.0,
26,SKIN,Excision of Venereal Warts,160.0,184.0,
27,SKIN,Excision of Corns,140.0,161.0,
28,SKIN,I/D Injection Keloid(Intralesional Injection),97.0,112.0,
29,SKIN,Chemical Cautery (s),110.0,127.0,
30,OPHTHALMOLOGY,Subconjunctival/subtenon’s injections in one eye,60.0,69.0,
31,OPHTHALMOLOGY,Subconjunctival/subtenon’s injections in both eyes,120.0,138.0,both eyes
32,OPHTHALMOLOGY,Pterygium Surgery,5500.0,6325.0,
33,OPHTHALMOLOGY,Conjunctival Peritomy,50.0,58.0,
34,OPHTHALMOLOGY,Conjunctival wound repair or exploration following blunt trauma,3300.0,3795.0,
35,OPHTHALMOLOGY,Removal of corneal foreign body,100.0,115.0,
36,OPHTHALMOLOGY,Cauterization of ulcer/subconjunctival injection in one eye,60.0,69.0,
37,OPHTHALMOLOGY,Cauterization of ulcer/subconjunctival injection in both eyes,120.0,138.0,both eyes
38,OPHTHALMOLOGY,Corneal grafting—Penetrating keratoplasty,5000.0,5750.0,
