sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
1,Ahmedabad,SAMVED ORTHOPAEDIC HOSPITAL,"3rdFloorSamved Hospital, Nr. Sop, Stadium Circle to Commerce Colle, Navrangpura, Ahmedabad-380009,, Ph-079-26562993, 26465292, Fax:-, Email: samvedortho@yahoo.com, CIMS Hospital Private Limited,, Plot No. 67/1, Opp. Panchmrut Bu, Near Shukan Mall,, Off Science City Road, Sola,, Ahmedabad 380060, Gujarat, United Medicity Hospital, Rawatp","079-26562993, 26465292,; 079-26562232",samvedortho@yahoo.com,"an Flats, On ge, Six Roads, SINGLE SPECIALTY FOR ORTHOPAEDIC SERVICES 079-26562232 Accepted for nglows, Cardiology(including Cardiac Surgery), Orthopedics and joint replacement, , Oncology(medical, surgical and radiation), Neurology, Neurosurgery, and Nephrology ur, Near",09.11.2012,
3,Ahmedabad,"United Medicity Hospital, Rawatp","Off Science City Road, Sola,, Ahmedabad 380060, Gujarat, Prayagraj Airport, Allahabad, U., PIN-211012, Mittal Hospital & Research Centr, Pushkar Road, Ajmer-305004",,,"Orthopedics and joint replacement, , Oncology(medical, surgical and radiation), Neurology, Neurosurgery, and Nephrology ur, Near Total Facility of Hospital P. (OPD & Indoor) e,",08.08.2023,
4,Ajmer,Mittal Hospital & Research Centr,"PIN-211012, Pushkar Road, Ajmer-305004, Ph. -0145-2603600-07, +91-935141, 2603608, Email: info@mittalhospital.com, JEEVAN JYOTI HOSPITAL, Ring Road, Darripara, Ambikapur","0145-2603600-07, +91-9351415247",info@mittalhospital.com,"(OPD & Indoor) e, 5247 Fax: Total Facility of Hospital (OPD & Indoor) Distt. Sarguja",25.09.2018,
5,Ambikapur,JEEVAN JYOTI HOSPITAL,"2603608, Email: info@mittalhospital.com, Ring Road, Darripara, Ambikapur,, Chhatisgarh – 497001, Ph: 07774 – 221340/ 220684/ 2200, Fax: 07774 – 220053, Sankalp Hospital",07774; 07774,info@mittalhospital.com,(OPD & Indoor) Distt. Sarguja Total Facility of Hospital (OPD & Indoor) 52,17.07.2012,
6,Ambikapur,Sankalp Hospital,"Ph: 07774 – 221340/ 220684/ 2200, Fax: 07774 – 220053, Behind District Hospital, Bilasp, Ambikapur,, Distt. Surguja, Chattisgarh-4970, JEEVAN JYOTI HOSPITAL",07774; 07774,,"(OPD & Indoor) 52 ur Road, Manipur, For Obstetrics and Gynaecology Services Only 01",08.08.2024,
7,Allahabad,JEEVAN JYOTI HOSPITAL,"Distt. Surguja, Chattisgarh-4970, 162, Bai ka Bagh (Lowther Road),, Allahabad -211003,, Ph:2418091/92/94, Apollo Adlux Hospitals",2418091/92/94,,Gynaecology Services Only 01 Total facilities of hospital (OPD & Indoor) Total facilities of hospital,05.04.2011,
8,Angamaly,Apollo Adlux Hospitals,"Allahabad -211003,, Ph:2418091/92/94, Angamaly, Cable Junction Ernakul, National Highway 47 Karukutty, Kerala PIN : 683576, PH :0484-2735000, HLG Memorial Hospital Private Limited. (, H.L.G. Memorial Charitable Hospital & Re, Institute Private Limited)",2418091/92/94; 0484-2735000,,"(OPD & Indoor) Total facilities of hospital am District, (OPD & Indoor) Payment as per MoU. previously search",08.10.2025,National Highway 47 Karukutty                          Payment as per MoU.
9,Asansol,PH :0484-2735000,"Kerala PIN : 683576, HLG Memorial Hospital Private Limited. (, H.L.G. Memorial Charitable Hospital & Re, Institute Private Limited), Sen Raleigh Road, P.O. Asansol-713304, B, Ph:- 0341-2251510, 2256611, 6532474, FaX:- 0341-2257555,, E-mail:- admin@hlghospital.com,, director@hlghospital.com, Asansol Healthworld Private Limited","0484-2735000; 0341-2251510, 2256611, 6532474                  (; 0341-2257555,",director@hlghospital.com; admin@hlghospital.com,previously search urdwan Total facilities of hospital modified on (OPD & Indoor),31.03.2011,
10,Asansol,Asansol Healthworld Private Limited,"Ph:- 0341-2251510, 2256611, 6532474, FaX:- 0341-2257555,, E-mail:- admin@hlghospital.com,, director@hlghospital.com, Holding No. 427, Block - A, Sristinagar,, Paschim Bardhaman, West Bengal, Pin - 71, Apollo Hospitals","0341-2251510, 2256611, 6532474                  (; 0341-2257555,",director@hlghospital.com; admin@hlghospital.com,"(OPD & Indoor) Asansol, Total facilities of hospital 3305 (OPD & Indoor) Total facilities of hospital",06.10.2016,
11,Asansol,Apollo Hospitals,"Paschim Bardhaman, West Bengal, Pin - 71, 154 /11, Bannerghatta Road, Opp IIM, Kar, PIN : 560076, PH :080-26304050 / 66001066 / 8197026604, Apollo Specialty Hospital, 21/2, Old No-2, 14th Cross, Sri Nitturu",080-26304050 / 66001066 / 8197026604,,3305 (OPD & Indoor) Total facilities of hospital nataka (OPD & Indoor) modified on Payment as per MoU. and Total facilities of hospital (OPD & Indoor),12.05.2025,Bangalore   PIN : 560076                                         Payment as per MoU.
